Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for new neutral Higgs bosons through the $$\mathrm {H}\to\mathrm {ZA}\to {\ell}^{+}{\ell}^{-}\mathrm {b}\overline {\mathrm {b}} $$ process in pp collisions at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2020,3,1-40,2020,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Measurement of the jet mass distribution and top quark mass in hadronic decays of boosted top quarks in pp collisions at s= 13 TeV,Physical review letters,124,20,202001,2020,American Physical Society
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; Fruehwirth, Rudolf; ",Search for high mass dijet resonances with a new background prediction method in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2020,5,1-45,2020,Springer Berlin Heidelberg
"CMS collaboration; ",Search for dijet resonances using events with three jets in proton-proton collisions at $\sqrt {s}= $13 TeV,arXiv preprint arXiv:1911.03761,,,,2019,
"CMS collaboration; ",Search for supersymmetry in pp collisions at $\sqrt {s}= $13 TeV with 137 fb $^{-1} $ in final states with a single lepton using the sum of masses of large-radius jets,arXiv preprint arXiv:1911.07558,,,,2019,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; ","Measurement of the top quark mass in the all-jets final state at s= 13\, TeV s= 13 TeV and combination with the lepton+ jets channel",The European Physical Journal C,79,,1-27,2019,Springer Berlin Heidelberg
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, Vardan; Sirunyan, AM; Adam, Wolfgang; Arnold, B; Bergauer, H; ",CMS data processing workflows during an extended cosmic ray run,,,,,2010,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, Vardan; Sirunyan, AM; Adam, Wolfgang; Arnold, B; Bergauer, H; ",Precise mapping of the magnetic field in the CMS barrel yoke using cosmic rays,,,,,2010,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, Vardan; Sirunyan, AM; Adam, Wolfgang; Arnold, B; Bergauer, H; ",Identification and filtering of uncharacteristic noise in the CMS hadron calorimeter,,,,,2010,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; Flechl, Martin; ",Search for MSSM Higgs bosons decaying to μ+ μ− in proton-proton collisions at s= 13TeV,Physics Letters B,798,,134992,2019,North-Holland
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, Vardan; Sirunyan, AM; Adam, Wolfgang; Arnold, B; Bergauer, H; ",Performance of the CMS drift-tube chamber local trigger with cosmic rays,,,,,2010,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, Vardan; Sirunyan, AM; Adam, Wolfgang; Arnold, B; Bergauer, H; ",Calibration of the CMS drift tube chambers and measurement of the drift velocity with cosmic rays,,,,,2010,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Valle, A Escalante Del; Flechl, Martin; Fruehwirth, Rudolf; ",Performance of the reconstruction and identification of high-momentum muons in proton-proton collisions at√ s= 13 TeV,Journal of Instrumentation,15,02,P02027-P02027,2020,IOP Publishing
"CMS collaboration; ",Search for a narrow resonance lighter than 200 GeV decaying to a pair of muons in proton-proton collisions at $\sqrt {s}= $13 TeV,arXiv preprint arXiv:1912.04776,,,,2019,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; Fruehwirth, Rudolf; ",Determination of the strong coupling constant αS (mZ) from measurements of inclusive W±and Z boson production cross sections in proton-proton collisions at $$\sqrt {\mathrm {s}} $$= 7 and 8 TeV,Journal of High Energy Physics,2020,6,1-50,2020,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Valle, A Escalante Del; Flechl, Martin; Fruehwirth, Rudolf; ",A deep neural network for simultaneous estimation of b jet energy and resolution,Computing and software for big science,4,,1-20,2020,Springer International Publishing
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ",Performance of the CMS hadron calorimeter with cosmic ray muons and LHC beam data,,,,,2010,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ",Measurement of the muon stopping power in lead tungstate,,,,,2010,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ",Alignment of the CMS silicon tracker during commissioning with cosmic rays,,,,,2010,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ",Performance of the CMS drift tube chambers with cosmic rays,,,,,2010,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ",Time reconstruction and performance of the CMS electromagnetic calorimeter,,,,,2010,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ","Search for direct top squark pair production in events with one lepton, jets, and missing transverse momentum at 13 TeV with the CMS experiment",Journal of High Energy Physics,2020,5,1-50,2020,Springer Berlin Heidelberg
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ",Commissioning and performance of the CMS silicon strip tracker with cosmic ray muons,,,,,2010,
"CMS collaboration; ",Measurement of the top quark forward-backward production asymmetry and the anomalous chromoelectric and chromomagnetic moments in pp collisions at $\sqrt {s}= $13 TeV,arXiv preprint arXiv:1912.09540,,,,2019,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ",Aligning the CMS muon chambers with the muon alignment system during an extended cosmic ray run,,,,,2010,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ",Commissioning of the CMS experiment and the cosmic run at four tesla,,,,,2010,
"CMS collaboration; ",A deep neural network to search for new long-lived particles decaying to jets,Machine Learning: Science and Technology,1,3,035012,2020,IOP Publishing
"Krätschmer, I; Lübelsmeyer, K; Schultz von Dratzig, A; Kirschenmann, H; Steinbrück, G; Poschlad, A; Zeise, M; Feichtinger, D; Gutsche, O; Chatrchyan, S; ",Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC,,,,,2012,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; ",Measurement of the ratio of inclusive jet cross sections using the anti-k T algorithm with radius parameters R= 0.5 and 0.7 in pp collisions at s= 7TeV,,,,,2014,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Aguilo, E; ",Search for narrow resonances and quantum black holes in inclusive and b-tagged dijet mass spectra from pp collisions at√ s= 7 TeV,,,,,2013,
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; ",Search for physics beyond the standard model using multilepton signatures in pp collisions at s= 7 TeV,,,,,2011,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; ",Search for top squarks in r-parity-violating supersymmetry using three or more leptons and b-tagged jets,,,,,2013,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Outschoorn, VIM; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; ",Search for microscopic black holes in pp collisions at√ s= 8 TeV,,,,,2013,
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; ",Search for a W'boson decaying to a bottom quark and a top quark in pp collisions at s= 7TeV,,,,,2013,
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; ",Search for microscopic black holes in pp collisions at√ s= 7 TeV,,,,,2012,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; ",Search for WWγ and WZγ production and constraints on anomalous quartic gauge couplings in pp collisions at s= 8TeV,,,,,2014,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; ",Search for new physics in events with same-sign dileptons and jets in pp collisions at√ s= 8 TeV,,,,,2014,
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; ",Performance of τ-lepton reconstruction and identification in CMS,,,,,2012,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; ",Measurement of the tt¯ production cross section in pp collisions at [Formula presented] TeV with lepton+ jets final states,,,,,2013,
"Delaere, C; du Pree, T; Favart, D; Forthomme, L; Giammanco, A; Hollar, J; Lemaitre, V; Liao, J; Militaru, O; Nuttens, C; ","Search for new physics in events with opposite-sign leptons, jets, and missing transverse energy in pp collisions at s= 7 TeV",,,,,2013,
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Aguilo, E; ",Search for a fermiophobic Higgs boson in pp collisions at√ s= 7 TeV,,,,,2012,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ",Performance of the CMS Level-1 trigger during commissioning with cosmic ray muons and LHC beams,,,,,2010,
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Aguilo, E; ",Search for flavor changing neutral currents in top quark decays in pp collisions at 7 TeV,,,,,2013,
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Aguilo, E; ",Searches for Higgs bosons in pp collisions at s= 7 and 8 TeV in the context of four-generation and fermiophobic models,,,,,2013,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ",Alignment of the CMS muon system with cosmic-ray and beam-halo muons,,,,,2010,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, Vardan; Sirunyan, AM; Adam, Wolfgang; Arnold, B; Bergauer, H; ",Commissioning and performance of the CMS pixel tracker with cosmic ray muons,,,,,2010,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ","Performance of CMS hadron calorimeter timing and synchronization using test beam, cosmic ray, and LHC beam data",,,,,2010,
"CMS collaboration; ",Observation of the $\Lambda_\mathrm {b}^ 0$$\to $ J/$\psi\Lambda\phi $ decay in proton-proton collisions at $\sqrt {s}= $13 TeV,arXiv preprint arXiv:1911.03789,,,,2019,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ",Performance of CMS muon reconstruction in cosmic-ray events,,,,,2010,
"Steinbrück, G; Zeise, M; Fischler, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Adam, W; Arnold, B; Bergauer, H; ",Performance of the CMS cathode strip chambers with cosmic rays,,,,,2010,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for low-mass quark-antiquark resonances produced in association with a photon at s= 13 TeV,Physical review letters,123,23,231803,2019,American Physical Society
"Tu, Zhoudunming; CMS Collaboration; ",Search for the chiral magnetic effect at the LHC with the CMS experiment,Nuclear Physics A,982,,527-530,2019,North-Holland
"Sirunyan, Albert M; Erbacher, Robin; Carrillo Montoya, Camilo Andres; Carvalho, Wagner; Górski, Maciej; Kotlinski, Danek; Ujvari, Balazs; Ozturk, Sertac; Muthumuni, Samila; Lander, Richard; ",arXiv: Search for the associated production of the Higgs boson and a vector boson in proton-proton collisions at $\sqrt {s}= $13 TeV via Higgs boson decays to $\tau $ leptons,JHEP,1906,CERN-EP-2018-221,093,2018,
"Khachatryan, V; Sirunyan, AM; Tumasyan, Armen; Adam, W; Bergauer, T; Dragicevic, M; Erö, J; Friedl, M; Frühwirth, R; Ghete, VM; ",Measurement of the ratio B (Bs0â J/Ï f0 (980))/B (Bs0â J/Ï Ï (1020)) in pp collisions at s= 7Â TeV,Physics Letters B,,,,2016,Elsevier
"Sirunyan, AM; CMS Collaboration; ","Search for pair production of second-generation leptoquarks at√ s= 13 TeV, Submitted to",Phys. Rev,,,,2018,
"Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; Brandstetter, J; Brondolin, E; Dragicevic, M; Eroe, J; Flechl, M; Friedl, M; ",Search for dark matter and unparticles in events with a Z boson and missing transverse momentum in proton-proton collisions at root s= 13 TeV,,,,,2017,SPRINGER
"Khachatryan, Vardan; Erbacher, Robin; Carrillo Montoya, Camilo Andres; Moon, Chang-Seong; Carvalho, Wagner; Górski, Maciej; Kotlinski, Danek; Anderson, Jacob; Jez, Pavel; Ujvari, Balazs; ","Measurement of the ratio $\mathcal {B}(\mathrm {B}^ 0_ {s}\to\mathrm {J}/\psi\,\mathrm {f} _0 (980))/\mathcal {B}(\mathrm {B}^ 0_ {s}\to\mathrm {J}/\psi\,\phi (1020)) $ in pp collisions at $\sqrt {s} $= 7 TeV",Phys. Lett. B,756,CERN-PH-EP-2015-003,84,2015,CMS-BPH-14-002-003
"Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; Brandstetter, J; Brondolin, E; Dragicevic, M; Erö, J; ",Search for neutral MSSM Higgs bosons decaying to Î¼+ Î¼ â in pp collisions at s= 7Â andÂ 8Â TeV,Physics Letters B,,,,2015,Elsevier
"Belforte, S; Candelise, Vieri; Casarsa, M; Gobbo, B; LA LICATA, Chiara; Marone, Matteo; Montanino, Damiana; Penzo, A; Schizzi, Andrea; Umer, Tomo; ",Studies of dijet transverse momentum balance and pseudorapidity distributions in pPb collisions at sqrt (s_NN)= 5.02 TeV,"THE EUROPEAN PHYSICAL JOURNAL. C, PARTICLES AND FIELDS",74,,1-26,2014,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for an excited lepton that decays via a contact interaction to a lepton and two jets in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2020,5,1-40,2020,Springer Berlin Heidelberg
"Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; Brandstetter, J; Brondolin, E; Dragicevic, M; Erö, J; ",Ï (nS) polarizations versus particle multiplicity in pp collisions at s= 7Â TeV,Physics Letters B,,,,2016,Elsevier
"Bansal, S; Hindrichs, O; Weiler, T; Da Silveira, GG; Leonardi, R; Adzic, P; Clarida, W; Grynyov, B; Frühwirth, R; Sahin, MÖ; ",Observation of tt¯ H Production,Physical Review Letters,120,arXiv: 1804.02610,,2018,APS
"Sirunyan, AM; Erbacher, Robin; Carvalho, Wagner; Górski, Maciej; Kotlinski, Danek; Ujvari, Balazs; Ozturk, Sertac; Polatoz, Ayse; Lander, Richard; Smith, Nicholas; ",arXiv: Measurement of the inclusive $\mathrm {t}\overline {\mathrm {t}} $ cross section in pp collisions at $\sqrt {s}= $5.02 TeV using final states with at least one charged lepton,JHEP,3,arXiv: 1711.03143,115,2017,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Valle, A Escalante Del; ",Performance of missing transverse momentum reconstruction in proton-proton collisions at√ s= 13 TeV using the CMS detector,,,,,2019,IOP Publishing
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Measurement of the $\mathrm {t}\overline {\mathrm {t}} $ production cross section in the all-jet final state in pp collisions at $\sqrt {s}= 7$ TeV,Journal of High Energy Physics,2013,5,1-35,2013,Springer-Verlag
